file_name,tool_type,peak_freq,peak_mag,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_spread,spectral_skewness,spectral_kurtosis,rms_energy,zero_crossing_rate,peak_to_peak,energy,duration,start_time,end_time,extract_date
20260724_133141.wav,Ghe_nhua,509.3167702,1.0,3063.704375,2298.316028,6124.223602,2298.316028,0.530417078,-1.017629543,0.04748958,0.176242236,1.451904297,5.809550285,0.161,0.71425,0.87525,
20260724_133141.wav,Ghe_nhua,509.3167702,1.0,3031.556648,2048.648527,5316.770186,2048.648527,0.355734938,-1.007484182,0.051837027,0.197981366,1.741027832,6.92191124,0.161,1.6939375,1.8549375,
20260724_133141.wav,Ghe_nhua,509.3167702,1.0,3365.148618,2189.438908,5869.565217,2189.438908,0.428298939,-0.982111689,0.071618631,0.216614907,1.707183838,13.21289158,0.161,2.7988125,2.9598125,
20260724_133141.wav,Ghe_nhua,2161.490683,1.0,3092.98999,1986.022672,5254.658385,1986.022672,0.625271369,-0.558105592,0.044915803,0.210403727,1.220550537,5.196897984,0.161,3.9365,4.0975,
20260724_133141.wav,Ghe_nhua,2689.440994,1.0,3060.053672,1964.859421,5329.192547,1964.859421,0.576333081,-0.615770721,0.066766828,0.215062112,1.438079834,11.48331547,0.161,4.9650625,5.1260625,
20260724_133151.wav,Ghe_nhua,2167.701863,1.0,3337.425312,2147.380303,6031.055901,2147.380303,0.359913866,-1.017616358,0.054940347,0.221273292,1.383850098,7.775505543,0.161,0.867125,1.028125,
20260724_133151.wav,Ghe_nhua,2161.490683,1.0,3019.296422,1947.090054,5335.403727,1947.090054,0.626362236,-0.525618663,0.043364715,0.195652174,1.216094971,4.844164371,0.161,1.94325,2.10425,
20260724_133151.wav,Ghe_nhua,2049.689441,1.0,3072.142374,1971.531697,5472.049689,1971.531697,0.706653405,-0.437338049,0.063070603,0.20923913,1.77166748,10.24707222,0.161,3.2034375,3.3644375,
20260724_133151.wav,Ghe_nhua,1354.037267,1.0,3345.648684,2264.35868,6279.503106,2264.35868,0.428521596,-1.092360301,0.06186381,0.210015528,1.456115723,9.858689308,0.161,4.52075,4.68175,
20260724_133151.wav,Ghe_nhua,0.0,1.0,3360.975999,2252.567636,6335.403727,2252.567636,0.336898657,-1.044755722,0.040933549,0.185559006,1.437133789,4.316231251,0.161,5.7345625,5.8955625,
20260724_133202.wav,Ghe_nhua,0.0,1.0,3417.235987,1986.637723,5782.608696,1986.637723,0.398352124,-0.850320033,0.061384968,0.210791925,1.447570801,9.706662178,0.161,1.1439375,1.3049375,
20260724_133202.wav,Ghe_nhua,1223.602484,1.0,3444.600499,2067.213318,5608.695652,2067.213318,0.176806159,-1.120576054,0.051849816,0.231754658,1.369293213,6.925326824,0.161,2.324875,2.485875,
20260724_133202.wav,Ghe_nhua,2167.701863,1.0,3385.055944,2106.79599,6180.124224,2106.79599,0.488829367,-0.93147671,0.066570036,0.228649068,1.65045166,11.41572475,0.161,3.6095,3.7705,
20260724_133202.wav,Ghe_nhua,2204.968944,1.0,3318.19932,1981.464905,5577.639752,1981.464905,0.450549835,-1.015474141,0.07830479,0.223990683,1.834533691,15.79510593,0.161,4.9008125,5.0618125,
20260724_133202.wav,Ghe_nhua,1639.751553,1.0,3328.021346,1999.249836,5838.509317,1999.249836,0.423854594,-0.979601848,0.062660091,0.207298137,1.6769104,10.11411572,0.161,6.2155625,6.3765625,
20260724_133212.wav,Ghe_nhua,0.0,1.0,3521.666161,2331.90366,6298.136646,2331.90366,0.178698927,-1.173212066,0.048653129,0.249223602,1.223083496,6.097719193,0.161,0.949125,1.110125,
20260724_133212.wav,Ghe_nhua,1732.919255,1.0,3558.195415,2112.718214,6403.726708,2112.718214,0.4348685,-0.764195034,0.054662541,0.22515528,1.413726807,7.697071075,0.161,1.9926875,2.1536875,
20260724_133212.wav,Ghe_nhua,360.2484472,1.0,3390.201792,2246.213937,6204.968944,2246.213937,0.378720922,-0.946681444,0.072888598,0.248059006,1.628662109,13.68563843,0.161,3.0723125,3.2333125,
20260724_133212.wav,Ghe_nhua,1757.763975,1.0,3176.026229,2160.963561,5857.142857,2160.963561,0.508736843,-0.854529015,0.069231145,0.213121118,1.532562256,12.34664249,0.161,4.185375,4.346375,
20260724_133212.wav,Ghe_nhua,1347.826087,1.0,3136.401399,2193.659682,6105.590062,2193.659682,0.609828423,-0.881336407,0.0486091,0.19060559,1.298522949,6.086688042,0.161,5.279,5.44,
20260724_133223.wav,Ghe_nhua,0.0,1.0,2810.409389,2052.247775,5285.714286,2052.247775,0.762269166,-0.474429377,0.050048083,0.14363354,1.376831055,6.452392578,0.161,1.1745,1.3355,
20260724_133223.wav,Ghe_nhua,0.0,1.0,3412.770724,2180.380117,6211.180124,2180.380117,0.31473578,-1.097188791,0.059379768,0.165372671,1.670501709,9.082864761,0.161,2.494125,2.655125,
20260724_133223.wav,Ghe_nhua,509.3167702,1.0,3399.343407,2174.341769,5888.198758,2174.341769,0.252575016,-1.161836184,0.049261082,0.226319876,1.355102539,6.251060963,0.161,3.88875,4.04975,
20260724_133223.wav,Ghe_nhua,0.0,1.0,3555.069925,2245.839208,6434.782609,2245.839208,0.309985497,-1.135601919,0.045771454,0.228649068,1.415893555,5.396787167,0.161,5.3341875,5.4951875,
20260724_133234.wav,Ghe_nhua,2049.689441,1.0,3362.684123,2037.903471,5832.298137,2037.903471,0.62373854,-0.477380878,0.071126126,0.231754658,1.763000488,13.03179264,0.161,1.034375,1.195375,
20260724_133234.wav,Ghe_nhua,2422.360248,1.0,3276.255675,2138.855315,6006.21118,2138.855315,0.531301849,-0.753673119,0.063876666,0.222049689,1.659454346,10.51066685,0.161,2.298875,2.459875,
20260724_133234.wav,Ghe_nhua,1565.217391,1.0,3235.240351,2126.043066,5652.173913,2126.043066,0.434111146,-0.821022419,0.056278095,0.244953416,1.478485107,8.158768654,0.161,3.7245625,3.8855625,
20260724_133234.wav,Ghe_nhua,1565.217391,1.0,3235.280866,2053.676902,5838.509317,2053.676902,0.532954502,-0.804308595,0.054960977,0.21234472,1.16696167,7.781346321,0.161,5.099,5.26,
20260724_133245.wav,Ghe_nhua,2360.248447,1.0,3465.410346,2040.592063,5950.310559,2040.592063,0.388370932,-0.872190167,0.071060523,0.220496894,1.652069092,13.00776291,0.161,0.840875,1.001875,
20260724_133245.wav,Ghe_nhua,1372.670807,1.0,3345.121537,2148.506087,5844.720497,2148.506087,0.521871537,-0.911074997,0.045946859,0.211568323,1.125,5.438229084,0.161,2.1625,2.3235,
